0.jpg	5.0	2.0	5.0	7.0	4.0	4.0	2.0	6.0	5.0	4.0	4.0	3.0	6.0	5.0	4.0	3.0	1.0	7.0	6.0	5.0	4.0	2.0	7.0	5.0	3.0	4.0	2.0	7.0	4.0	5.0	2.0	2.0	5.0	5.0	7.0	4.0	2.0	7.0	3.0	6.0	5.0	2.0	4.0	7.0	4.0	5.0	1.0	6.0	5.0	6.0	5.0	1.0	2.0	6.0	7.0	4.0	4.0	4.0	4.0	7.0	5.0	2.0	6.0	4.0	3.0	6.0	1.0	5.0	4.0	3.0	6.0	1.0	4.0	2.0	3.0	5.0	1.0	5.0	3.0	4.0
1.jpg	4.0	6.0	5.0	6.0	1.0	4.0	1.0	6.0	5.0	1.0	3.0	4.0	5.0	6.0	1.0	1.0	6.0	5.0	6.0	1.0	6.0	1.0	3.0	5.0	0.0	5.0	2.0	6.0	2.0	1.0	3.0	5.0	6.0	6.0	2.0	1.0	6.0	4.0	5.0	2.0	3.0	3.0	3.0	7.0	1.0	5.0	2.0	2.0	7.0	2.0	3.0	4.0	6.0	5.0	3.0	5.0	2.0	2.0	3.0	2.0	4.0	1.0	3.0	7.0	3.0	4.0	4.0	4.0	5.0	4.0	1.0	4.0	7.0	5.0	3.0	4.0	1.0	4.0	4.0	3.0
10.jpg	3.0	3.0	5.0	6.0	3.0	2.0	3.0	7.0	5.0	2.0	2.0	4.0	4.0	6.0	4.0	4.0	4.0	6.0	6.0	2.0	4.0	4.0	4.0	5.0	5.0	3.0	4.0	7.0	6.0	4.0	3.0	1.0	6.0	7.0	6.0	3.0	3.0	6.0	6.0	6.0	5.0	1.0	4.0	6.0	5.0	1.0	4.0	7.0	7.0	4.0	5.0	3.0	5.0	7.0	4.0	2.0	4.0	5.0	6.0	3.0	4.0	3.0	6.0	7.0	3.0	3.0	3.0	3.0	6.0	5.0	3.0	3.0	4.0	6.0	5.0	3.0	2.0	6.0	7.0	3.0
100.jpg	2.0	2.0	3.0	3.0	5.0	3.0	2.0	4.0	3.0	6.0	5.0	1.0	5.0	1.0	4.0	5.0	1.0	1.0	3.0	4.0	5.0	4.0	1.0	6.0	6.0	4.0	4.0	5.0	6.0	5.0	5.0	3.0	6.0	6.0	3.0	5.0	4.0	5.0	5.0	4.0	4.0	4.0	5.0	5.0	6.0	5.0	2.0	6.0	5.0	6.0	3.0	3.0	6.0	5.0	6.0	5.0	4.0	6.0	4.0	3.0	4.0	4.0	2.0	2.0	3.0	2.0	6.0	2.0	2.0	2.0	3.0	3.0	5.0	4.0	5.0	3.0	5.0	3.0	3.0	2.0
101.jpg	0.0	0.0	2.0	0.0	0.0	0.0	1.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	3.0	4.0	3.0	3.0	0.0	4.0	1.0	3.0	2.0	1.0	6.0	0.0	2.0	0.0	0.0	4.0	0.0	0.0	0.0	4.0	3.0	4.0	5.0	5.0	2.0	2.0	5.0	6.0	4.0	2.0	1.0	0.0	5.0	4.0	1.0	3.0	2.0	6.0	4.0	2.0	3.0	5.0	6.0	6.0	2.0	2.0	5.0	4.0	7.0	2.0	3.0	2.0	6.0	6.0	2.0	3.0	3.0	6.0	6.0
102.jpg	1.0	2.0	3.0	5.0	2.0	3.0	3.0	6.0	5.0	2.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	2.0	5.0	6.0	6.0	3.0	1.0	6.0	5.0	5.0	4.0	0.0	1.0	1.0	0.0	2.0	0.0	1.0	0.0	0.0	0.0	1.0	5.0	3.0	4.0	5.0	1.0	5.0	5.0	3.0	4.0	0.0	6.0	2.0	2.0	3.0	0.0	7.0	2.0	2.0	1.0	1.0	2.0	3.0	3.0	4.0	1.0	4.0	3.0	5.0	5.0	1.0	3.0	4.0	3.0	7.0	0.0	4.0	4.0	5.0	6.0
103.jpg	0.0	2.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	2.0	0.0	3.0	1.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	5.0	4.0	4.0	3.0	0.0	6.0	0.0	0.0	1.0	0.0	6.0	2.0	2.0	2.0	0.0	6.0	1.0	1.0	2.0	0.0	1.0	1.0	2.0	3.0	1.0	3.0	5.0	5.0	6.0	1.0	3.0	2.0	4.0	6.0	3.0	2.0	2.0	4.0	5.0	2.0	1.0	3.0	4.0	4.0	2.0	2.0	0.0	6.0	4.0	2.0	2.0	3.0	2.0	6.0	2.0	1.0	5.0	5.0	6.0
104.jpg	1.0	4.0	2.0	5.0	4.0	3.0	2.0	3.0	2.0	4.0	1.0	2.0	2.0	2.0	4.0	1.0	2.0	1.0	1.0	2.0	1.0	1.0	3.0	5.0	4.0	1.0	3.0	4.0	1.0	4.0	1.0	3.0	2.0	2.0	4.0	1.0	1.0	2.0	2.0	2.0	0.0	1.0	1.0	0.0	2.0	1.0	2.0	1.0	0.0	3.0	0.0	2.0	2.0	1.0	7.0	1.0	1.0	3.0	3.0	5.0	1.0	0.0	1.0	1.0	5.0	1.0	1.0	1.0	4.0	7.0	2.0	2.0	6.0	2.0	7.0	1.0	3.0	4.0	5.0	6.0
105.jpg	4.0	2.0	6.0	2.0	4.0	7.0	1.0	5.0	0.0	3.0	7.0	2.0	2.0	1.0	0.0	5.0	2.0	2.0	5.0	6.0	6.0	0.0	2.0	3.0	4.0	5.0	2.0	5.0	5.0	2.0	3.0	3.0	4.0	5.0	4.0	7.0	0.0	3.0	5.0	1.0	5.0	1.0	3.0	7.0	3.0	2.0	3.0	6.0	4.0	2.0	3.0	2.0	3.0	5.0	2.0	4.0	2.0	7.0	3.0	3.0	3.0	1.0	3.0	7.0	6.0	4.0	1.0	1.0	4.0	4.0	3.0	1.0	4.0	2.0	4.0	0.0	1.0	4.0	2.0	7.0
106.jpg	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	1.0	1.0	2.0	1.0	0.0	5.0	1.0	1.0	3.0	2.0	5.0	2.0	3.0	3.0	3.0	5.0	4.0	3.0	4.0	6.0	3.0	3.0	4.0	4.0	0.0	6.0	3.0	0.0	2.0	0.0	5.0	2.0	2.0	2.0	0.0	2.0	1.0	1.0	2.0	1.0	1.0	3.0	2.0	4.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	2.0	5.0	1.0	3.0	0.0	1.0	1.0	0.0	1.0
